2024-07-09 10:05:41,544 [INFO ]  Logging file is ./checkpoints/tinylic/3//20240709_100541.log
2024-07-09 10:05:41,545 [INFO ]  ======================= 2024-07-09_10_05_41 =======================
2024-07-09 10:05:41,545 [INFO ]  model:tinylic
2024-07-09 10:05:41,545 [INFO ]  dataset:../../../dataset/COCO/
2024-07-09 10:05:41,545 [INFO ]  epochs:400
2024-07-09 10:05:41,545 [INFO ]  learning_rate:0.0001
2024-07-09 10:05:41,545 [INFO ]  num_workers:4
2024-07-09 10:05:41,545 [INFO ]  quality_level:3
2024-07-09 10:05:41,545 [INFO ]  lmbda:0.01
2024-07-09 10:05:41,545 [INFO ]  batch_size:4
2024-07-09 10:05:41,545 [INFO ]  test_batch_size:1
2024-07-09 10:05:41,545 [INFO ]  aux_learning_rate:0.001
2024-07-09 10:05:41,545 [INFO ]  patch_size:(128, 128)
2024-07-09 10:05:41,545 [INFO ]  cuda:True
2024-07-09 10:05:41,545 [INFO ]  gpu_id:0
2024-07-09 10:05:41,545 [INFO ]  save:True
2024-07-09 10:05:41,545 [INFO ]  seed:None
2024-07-09 10:05:41,545 [INFO ]  clip_max_norm:1.0
2024-07-09 10:05:41,545 [INFO ]  name:2024-07-09_10_05_41
2024-07-09 10:05:41,545 [INFO ]  checkpoint:None
2024-07-09 10:05:41,546 [INFO ]  ===================================================================
2024-07-09 10:05:47,843 [INFO ]  ======Current epoch 0 ======
2024-07-09 10:05:47,844 [INFO ]  Learning rate: 0.0001
2024-07-09 10:05:49,226 [INFO ]  [0/118287] | Loss: 901.104 | MSE loss: 1.36917 | Bpp loss: 10.8011 | Aux loss: 7923.06
